鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
大同區,建物,臺北市大同區市民大道一段181~210號,0.0,其他,,,1090107,土地0建物1車位0,十層,18,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,0980724,92.48,2,1,1,有,有,有,58000,627,,0.0,0,售價包含裝潢或家電。;親友、員工或其他特殊關係間之交易。;,RPOQMLLLJHPFFBA57CC
大同區,建物,臺北市大同區市民大道一段181~210號,0.0,其他,,,1090115,土地0建物1車位0,七層,18,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,0980724,47.21,1,1,1,有,有,有,30000,635,,0.0,0,售價包含裝潢或家電。;,RPPQMLLLJHPFFBA67CC
信義區,建物,臺北市信義區和平東路三段241~270號,0.0,住,,,1081213,土地0建物1車位0,四層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0720712,129.39,3,2,2,有,無,無,28000,216,,0.0,0,,RPTNMLLLJHPFFDA97CC
松山區,建物,臺北市松山區民生東路五段151~180號,0.0,商,,,1081230,土地0建物1車位0,十一層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0680521,118.56,3,2,2,有,有,有,42000,354,,0.0,0,,RPTOMLLLJHPFFDA08CC
信義區,建物,臺北市信義區信義路五段121~150號,0.0,其他,,,1090109,土地0建物1車位0,十九層,19,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,0951229,91.97,2,1,1,有,有,有,50000,544,,0.0,0,,RPXOMLLLJHPFFDA48CC
信義區,建物,臺北市信義區忠孝東路五段211~240號,0.0,商,,,1090116,土地0建物1車位0,五層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0940930,61.5,1,1,1,有,有,有,40000,650,,0.0,0,,RPOPMLLLJHPFFDA67CC
信義區,建物,臺北市信義區光復南路473巷1~30號,0.0,住,,,1090109,土地0建物1車位0,七層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0970328,104.05999999999999,3,2,2,有,無,有,60000,577,,0.0,0,,RPQPMLLLJHPFFDA87CC
信義區,建物,臺北市信義區吳興街156巷7弄1~30號,0.0,住,,,1090116,土地0建物1車位0,二層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0640123,89.02,3,2,1,有,無,有,22500,253,,0.0,0,,RPSPMLLLJHPFFDA08CC
北投區,建物,臺北市北投區三合街一段61~90號,0.0,住,,,1081230,土地0建物1車位1,三層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1031119,329.26,4,2,2,有,有,有,60000,182,坡道平面,40.49,0,租期含免租裝潢期。,RPRNMLLLJHPFFEA87CC
士林區,建物,臺北市士林區中山北路六段157巷1~30號,0.0,工,,,1090114,土地0建物1車位0,八層,15,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0971002,118.64,2,2,1,有,有,有,60000,506,,0.0,0,,RPVNMLLLJHPFFEA28CC
北投區,建物,臺北市北投區東華街二段1~30號,0.0,住,,,1090103,土地0建物1車位0,六層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1020923,189.95,3,2,2,有,有,有,60000,316,,0.0,0,,RPWNMLLLJHPFFEA38CC
